extend *,BasedOn,GoldCost,HammersCost,BooksCost,PietyCost,GoldUpkeep,Bonuses,Requires
CoopersShop,Upgrade,2000,1800,,,,"2 Trade in LoggingCamp
50 rs_max_food
produces Barrels",
Glassworks,Upgrade,3500,2200,,,,"2 Gold in LoggingCamp
3 rs_happiness
produces Glass",Minerals
MasterJoiner,Upgrade,3500,2500,,,,"4 Gold in LoggingCamp
2 rs_happiness
produces Furniture",Oils
Docks_Harbor,Docks,,,,,,,
Warehouse_Harbor,Warehouse,,,,,,,
FishMarket,Upgrade,2500,2000,,,,"3 Food in Town
1 Trade in CoastalSettlement
produces SaltedFish","Salt
Barrels"
FilthyTavern,Upgrade,500,800,,,,3 Gold in Town,Spirits
HostagesTower,Upgrade,1000,1200,,,,"2 ks_prison_capacity if Governed
1 TownGuards in Town",
SlaveMarket,Upgrade,3500,2500,,,,"2 Gold in Town
2 Trade in Town
3 Hammers in Town
5 ks_build_cost_discount_perc if Governed",
Cartographer,Upgrade,3200,2300,,,,"4 Trade in Town
1 Trade in CoastalSettlement
produces NavigationMaps","Ink
Parchment"
CoastalGuards,Upgrade,2000,1500,,,,"1 Levy in CoastalSettlement
50 rs_siege_defense
25 rs_siege_defense in CoastalSettlement",
Artillery_Ships,Artillery,,,,,,,
WoodenCrane,Upgrade,1000,1500,,,,2 Trade in Town,Ropes
SailMaker,Upgrade,2000,1400,,,,"3 Gold in Town
produces Sails","Tar
Canvas"
ShipJoiner,Upgrade,1500,2000,,,,4 Gold in Town,"Timber
Oils"
TradeCompanies,Upgrade,2500,2000,,,,"4 Trade in Town
15 ks_tc_sea_spread_penalty_reduced_perc if Governed",Merchants
Expeditions,Upgrade,3000,3000,,,,"5 Trade in Town
2 ks_chance_for_expedition_perc if Governed
produces Explorers",Compasses
TradeColonies,Upgrade,5000,5000,,,,"5 Trade in Town
15 ks_profit_from_colonies_perc if Governed
5 ks_chance_to_establish_colony if Governed","NavigationMaps
Gunpowder"
TownGuardsQuarters,Upgrade,1400,800,,,,2 TownGuards in Town,
Fletcher,Upgrade,600,1000,,,,10 rs_attrition_damage,
Fletcher_Barracks,Fletcher,,,,,,,
Fletcher_HillFort,Fletcher,,,,,,,
Swordsmith,Upgrade,800,1300,,,,,
Spearmaker,Upgrade,400,1200,,,,,
SiegeWorkshop,Upgrade,4000,3000,,,,20 rs_attrition_damage,
Stables,Upgrade,800,2000,,,,,
MasterWeaponsmith,Upgrade,3000,2000,,,,10 rs_attrition_damage,
HeavyArmorsmith,Upgrade,2000,2500,,,,20 rs_siege_defense,
MasterArmorer,Upgrade,3000,3000,,,,30 rs_siege_defense,
WarStables,Upgrade,3000,3500,,,,2 Levy in Keep,
Fiefs,Upgrade,2000,1800,,,,"1 Gold in Keep
1 WorkerSlots in Keep
produces tag peasant_start_bonus",
CastleGuards,Upgrade,2000,1700,,,,"1 Levy in Keep
1 rs_guard_level
10 rs_attrition_damage",
WatchTowers,Upgrade,1500,2000,,,,"15 rs_enemy_move_speed_reduction_perc
25 rs_siege_defense in Keep
2 rs_stability_buildings",
WatchTowers_HillFort,WatchTowers,,,,,,,
WatchTowers_Castles,WatchTowers,,,,,,,
LargeKeeps,Upgrade,5000,3500,,,,"1 Levy in Keep
25 rs_siege_defense in Keep
40 rs_fame_buildings_bonus if Governed","Iron
Furniture
FineBoots
Carpets"
Artillery_Castles,Artillery,,,,,,,
MountainHamlet,Upgrade,2000,2000,,,,"2 WorkerSlots in Town
3 Food in Town",
MountainPassGuard,Upgrade,2000,2000,,,,"4 rs_stability_buildings
15 rs_attrition_damage",
QueensChambers,Upgrade,2000,2000,,,,"50 ks_culture_from_buildings if NotMuslimKingGovernor
20 rs_fame_buildings_bonus if NotMuslimKingGovernor","NotMuslim
Jewellery
Silver
Furniture"
Harem,Upgrade,7000,5000,,,,"30 ks_culture_from_buildings if MuslimKingGovernor
50 rs_fame_buildings_bonus if MuslimKingGovernor","Muslim
Jewellery
Gold
Carpets"
RoyalGuardQuarters,Upgrade,2000,2000,,,,"1 rs_guard_level
1 TownGuards in Town",Iron
GreatHall,Upgrade,3000,3700,,,,"20 rs_heavy_discount_perc
20 rs_fame_buildings_bonus if Governed
produces Noblemen","Furniture
FineArt
Marble
Carpets"
SeatOfPower,Upgrade,4000,5000,,,,"2 rs_stability_to_own_neighbors
5 rs_stability_buildings
20 rs_fame_buildings_bonus if KingGovernor
20 ks_hire_knight_cost_discount_perc if KingGovernor
20 ks_knight_wage_discount_perc if KingGovernor","Parchment
Ink
Wax"
ScribesOffice,Upgrade,500,700,50,,,"1 Gold in Town
1 Books in Town",
Inns,Upgrade,500,800,,,,"1 Trade in Town
2 WorkerSlots in Town
2 rs_happiness",
TaxCollector,Upgrade,1000,1200,,,,"3 Gold in Town
1 Gold in Village
-4 rs_happiness",
Courthouse,Upgrade,1500,1800,,,,"2 Trade in Town
3 rs_stability_buildings
20 rs_fame_buildings_bonus if Governed",
TrainingGrounds,Upgrade,1500,1500,,,,1 Levy in Village,
TownWatch,Upgrade,1500,1000,,,,25 rs_siege_defense in Village,
Docks_RiverTrade,Docks,,,,,,,
AnglersHuts,Upgrade,500,800,,,,"1 Food in Town
1 Food in Village",
Warehouse_RiverTrade,Warehouse,,,,,,,
Boatwright,Upgrade,2500,1800,,,,"3 Trade in Town
1 Food in CoastalSettlement","Timber
Tar"
ShoemakersShop,Upgrade,2500,2200,,,,"1 Gold in Town
1 Gold in Village
1 Trade in Village
2 rs_happiness
produces FineBoots","Leather
Furs
Oils"
JewellersShop,Upgrade,4000,3200,,,,"4 Gold in Town
4 Trade in Town
3 rs_happiness if MuslimKingdom
produces Jewellery","Silver
Gold
Amber
Minerals"
TailorsShop,Upgrade,4000,4200,,,,"2 Gold in Town
1 Gold in Village
1 Trade in Village
5 ks_culture_from_buildings
produces FineClothing","Wool
Linen
Dyes"
RugsWeaver,Upgrade,2500,2200,,,,"6 Trade in Town
3 rs_happiness if MuslimKingdom
produces Carpets","Dyes
Wool"
TownsCharter,Upgrade,5000,8000,,,,"3 WorkerSlots in Village if NotMuslimKingdom
20 rs_fame_buildings_bonus if GovernedNotMuslimKingdom
30 rs_growth_rate_perc if NotMuslimKingdom","NotMuslim
Ink
Silver
Parchment"
Muhtasib,Upgrade,5000,8000,,,,"3 Trade in Town if MuslimKingdom
2 WorkerSlots in Village if MuslimKingdom
20 rs_fame_buildings_bonus if GovernedMuslimKingdom
30 rs_growth_rate_perc if MuslimKingdom
4 rs_stability_buildings if MuslimKingdom","Muslim
Ink
Silver
Parchment"
TradeFair,Upgrade,5000,4500,,,,"3 Gold in Town if NotMuslimKingdom
2 Trade in Village if NotMuslimKingdom
10 rs_fame_buildings_bonus if GovernedNotMuslimKingdom
produces Merchants","NotMuslim
Ale
Sausages"
Caravanserai,Upgrade,6000,5500,,,,"3 Gold in Town if MuslimKingdom
6 Trade in Town if MuslimKingdom
10 rs_fame_buildings_bonus if GovernedMuslimKingdom
produces Merchants","Muslim
Spices
Carpets"
Bazaar,Upgrade,4000,4000,,,,"4 Gold in Town if MuslimKingdom
3 Trade in Town if MuslimKingdom
5 rs_happiness if MuslimKingdom","Muslim
FineClothing
Jewellery
Spices"
MerchantBank,Upgrade,6000,6000,,,,"4 Gold in Town if NotMuslimKingdom
2 Trade in Farm if NotMuslimKingdom
2 Trade in CoastalSettlement if NotMuslimKingdom
5 ks_inflation_reduction_perc if GovernedNotMuslimKingdom","NotMuslim
Silver
Gold"
AuctionMarket_Christian,,,,,,,,"NotMuslim
Glass
DraftOxen
Wool"
AuctionMarket_Muslim,,,,,,,,"Muslim
Glass
TrainedCamels
Linen"
InkMaker_Christian,InkMaker,,,,,,,
InkMaker_Muslim,InkMaker,,,,,,,
InkMaker_Pagan,InkMaker,,,,,,,
SmallLibrary_Christian,SmallLibrary,,,,,,,
SmallLibrary_Muslim,SmallLibrary,,,,,,,
SmallLibrary_Pagan,SmallLibrary,,,,,,,
ChristianCeremonies,Upgrade,1700,2000,,300,,"2 Piety in Town if ChristianKingdom
produces Clergy","Christian
Candles"
MuslimCeremonies,Upgrade,1700,2000,,300,,"2 Piety in Town if MuslimKingdom
produces Clergy","Muslim
Carpets"
PaganCeremonies,Upgrade,1200,1500,,100,,2 Piety in Town if PaganKingdom,"Pagan
DraftOxen"
Apothecary_Christian,Apothecary,,,,,,,
Apothecary_Muslim,Apothecary,,,,,,,
Apothecary_Pagan,Apothecary,,,,,,,
Orphanage_Christian,Orphanage,,,,,,,
Orphanage_Muslim,Orphanage,,,,,,,
Hospital_Christian,Hospital,,,,,,,
Hospital_Muslim,Hospital,,,,,,,
Schools_Christian,Schools,,,,,,,
Schools_Muslim,Schools,,,,,,,
ArtsSchool_Christian,ArtsSchool,,,,,,,
ArtsSchool_Muslim,ArtsSchool,,,,,,,
ChristianDecoration,Upgrade,2000,2500,,200,,"2 Gold in Town if ChristianKingdom
5 rs_happiness if ChristianKingdom
10 ks_culture_from_buildings if GovernedChristianKingdom","Christian
Glass
Silver
Marble"
MuslimDecoration,Upgrade,2000,2500,,200,,"2 Gold in Town if MuslimKingdom
5 rs_happiness if MuslimKingdom
10 ks_culture_from_buildings if GovernedMuslimKingdom","Muslim
Gold
Lime
Carpets"
TranslatorsChambers_Christian,TranslatorsChambers,,,,,,,
TranslatorsChambers_Muslim,TranslatorsChambers,,,,,,,
Observatory_Christian,Observatory,,,,,,,
Observatory_Muslim,Observatory,,,,,,,
GreatLibrary_Christian,GreatLibrary,,,,,,,
GreatLibrary_Muslim,GreatLibrary,,,,,,,
AlchemistLab_Christian,AlchemistLab,,,,,,,
AlchemistLab_Muslim,AlchemistLab,,,,,,,
CropsRotation,Upgrade,1000,1500,,,,"1 Food in Town
1 Food in Farm",
Granary,Upgrade,1000,800,,,,100 rs_max_food,
DryingOvens,Upgrade,2000,2000,,,,"2 Gold in Town
1 Food in Farm",Charcoal
GrainTrade,Upgrade,3000,3000,,,,"2 Gold in Town
2 Trade in Farm","TrainedHorses
Barrels"
HeavyPloughsWorkshop,Upgrade,2000,1800,,,,"1 Food in Town
1 Food in Farm
3 Trade in CattleFarm","Iron
DraftOxen"
ManurePits,Upgrade,1500,1500,,,,"1 Food in Town
1 Food in Farm
2 Gold in CattleFarm",
Tavern,Upgrade,2000,2000,,,,"2 Gold in Town
3 rs_happiness
1 Gold in Village",Furniture
Alehouse,Upgrade,3500,2500,,,,"3 Gold in Town
1 Gold in Monastery
3 rs_happiness
produces Ale","Barrels
Herbs"
Bakery,Upgrade,3500,2500,,,,"3 Gold in Town
3 rs_happiness
produces Pastries","Raisins
Spices
Salt"
Machinery_Quarry,Machinery,,,,,,"3 Hammers in Quarry
5 rs_build_cost_discount_perc",
MinersShacks_Quarry,MinersShacks,,,,,,2 Gold in Quarry,
StoneCutters,Upgrade,1800,2000,,,,"3 Trade in Quarry
produces Marble",
SculpturesShop,Upgrade,5000,3500,,,,"2 Gold in Quarry
2 rs_happiness
20 rs_fame_buildings_bonus if Governed
3 ks_culture_from_buildings if Governed
produces Sculptures",
MasonsGuild,Upgrade,2500,3500,,,,"5 Hammers in Town
2 Trade in Quarry
produces Masons",
Machinery_Mine,Machinery,,,,,,"3 Hammers in Mine
5 rs_build_cost_discount_perc",
MinersShacks_Mine,MinersShacks,,,,,,2 Trade in Mine,
BlastFurnace,Upgrade,5000,5300,,,,"3 Hammers in Mine
4 Trade in Mine
10 rs_heavy_discount_perc
produces Iron",Charcoal
